Designação;Fabricante;Formato;Tipo;Aplicação;C1;Perc.;C2;Perc.;C3;Perc.;C4;Perc.
Calda Bordalesa ASCENZA;ASCENZA;Pó molhável;Fitofármaco;Fungicida;CU;20.0%;;;;;;
Enxofre Bayer 80 WG;Bayer;Pó molhável;Fitofármaco;Fungicida;S;80.0%;;;;;;
Patentkali;K+S;Granulado;Adubo;Adubo solo;K;24.9%;Mg;6%;S;17.60%;;
ESTA Kieserit;K+S;Granulado;Adubo;Adubo solo;Mg;15.1%;S;20.80%;;;;
EPSO Microtop;K+S;Granulado;Adubo;Adubo foliar+Fertirrega;Mg;9.0%;S;12.40%;B;0.90%;Mn;1%
EPSO Top;K+S;Granulado;Adubo;Adubo foliar;Mg;9.6%;S;13%;;;;
Biocal CaCo3;Biocal;Granulado;Corretor;Correção solo;CaCO3;88.2%;MgCO3;1.90%;;;;
Biocal Composto;Biocal;Pó;Corretor;Correção solo;CaCO3;71.7%;MgCO3;14.80%;MgO;7.90%;;
